ARN[0000] Config "/etc/crictl.yaml" does not exist, trying next: "/usr/bin/crictl.yaml"
WARN[0000] runtime connect using default endpoints: [unix:///run/containerd/containerd.sock unix:///run/crio/crio.sock unix:///var/run/cri-dockerd.sock]. As the default settings are now deprecated, you should set the endpoint instead.
WARN[0000] Image connect using default endpoints: [unix:///run/containerd/containerd.sock unix:///run/crio/crio.sock unix:///var/run/cri-dockerd.sock]. As the default settings are now deprecated, you should set the endpoint instead.
WARN[0000] Config "/etc/crictl.yaml" does not exist, trying next: "/usr/bin/crictl.yaml"
WARN[0000] runtime connect using default endpoints: [unix:///run/containerd/containerd.sock unix:///run/crio/crio.sock unix:///var/run/cri-dockerd.sock]. As the default settings are now deprecated, you should set the endpoint instead.
I0327 14:56:52.763713       1 handler_discovery.go:451] Starting ResourceDiscoveryManager
I0327 14:56:52.765563       1 shared_informer.go:320] Caches are synced for crd-autoregister
I0327 14:56:52.765805       1 aggregator.go:171] initial CRD sync complete...
I0327 14:56:52.765823       1 autoregister_controller.go:144] Starting autoregister controller
I0327 14:56:52.765828       1 cache.go:32] Waiting for caches to sync for autoregister controller
I0327 14:56:52.765833       1 cache.go:39] Caches are synced for autoregister controller
I0327 14:56:52.789375       1 shared_informer.go:320] Caches are synced for node_authorizer
I0327 14:56:52.795873       1 shared_informer.go:320] Caches are synced for *generic.policySource[*k8s.io/api/admissionregistration/v1.ValidatingAdmissionPolicy,*k8s.io/api/admissionregistration/v1.ValidatingAdmissionPolicyBinding,k8s.io/apiserver/pkg/admission/plugin/policy/validating.Validator]
I0327 14:56:52.795979       1 policy_source.go:240] refreshing policies
I0327 14:56:52.845697       1 controller.go:615] quota admission added evaluator for: leases.coordination.k8s.io
I0327 14:56:53.665996       1 storage_scheduling.go:111] all system priority classes are created successfully or already exist.
I0327 14:57:08.189276       1 controller.go:615] quota admission added evaluator for: serviceaccounts
I0327 14:57:11.686586       1 controller.go:615] quota admission added evaluator for: replicasets.apps
I0327 14:57:11.698334       1 controller.go:615] quota admission added evaluator for: deployments.apps
